sample_set_id	sample_id
all	NA19919
all	NA19916
all	NA19835
all	NA20282
all	NA19703
all	NA19902
all	NA19901
all	NA19908
all	NA19914
all	NA20287
all	NA20335
all	NA19713
all	NA19904
all	NA19917
all	NA19982
all	NA20340
all	NA20297
all	NA19909
all	NA19834
all	NA20317
all	NA19818
all	NA20290
all	NA20295
all	NA20346
all	NA19921
all	NA20281
all	NA20359
all	NA20301
all	NA20349
all	NA20294
all	NA20337
all	NA20357
all	NA19900
all	NA20128
all	NA20348
all	NA20289
all	NA20344
all	NA20333
all	NA20277
all	NA20300
all	NA19819
all	NA20343
all	NA19625
all	NA20332
all	NA19700
all	NA20291
all	NA20342
all	NA20334
all	NA20356
all	NA20292
all	NA20350
all	NA19983
all	NA20279
all	NA20288
all	NA20284
all	NA19712
all	NA20322
all	NA19704
all	NA19714
all	NA19701
all	NA20358
all	NA20363
all	NA20360
all	NA20129
all	NA19705
all	NA19836
all	NA20319
all	NA20345
all	NA20302
all	NA19711
all	NA20347
all	NA19702
all	NA20126
all	NA20364
all	NA20336
all	NA19915
all	NA19708
all	NA20341
all	NA19918
all	NA19828
all	NA19985
all	NA20276
all	NA20127
all	NA19984
all	NA20298
all	NA20351
all	NA20412
all	NA06989
all	NA11891
all	NA11843
all	NA12341
all	NA12739
all	NA10850
all	NA06984
all	NA12877
all	NA12275
all	NA06986
all	NA12272
all	NA10845
all	NA10852
all	NA07051
all	NA12400
all	NA12344
all	NA12777
all	NA12287
all	NA10837
all	NA12383
all	NA12340
all	NA12708
all	NA12273
all	NA11892
all	NA12546
all	NA12843
all	NA12766
all	NA12348
all	NA12817
all	NA10840
all	NA06997
all	NA11917
all	NA12718
all	NA12282
all	NA11920
all	NA12776
all	NA12283
all	NA07435
all	NA12828
all	NA07045
all	NA07031
all	NA12336
all	NA07349
all	NA12827
all	NA12375
all	NA12343
all	NA12335
all	NA12778
all	NA12832
all	NA11930
all	NA12890
all	NA07037
all	NA07347
all	NA12829
all	NA12749
all	NA11894
all	NA12286
all	NA10865
all	NA10864
all	NA10853
all	NA11918
all	NA12830
all	NA12818
all	NA10836
all	NA11893
all	NA11919
all	NA12489
all	NA12399
all	NA12413
all	NA10843
all	NA12842
all	NA12347
all	NA07346
all	NA12775
all	NA07014
all	NA12767
all	NA12889
all	NA12386
all	NA06995
all	NA12376
all	NA12342
all	NA12748
all	NA11931
all	NA12045
all	NA12750
all	NA11831
all	NA12146
all	NA11882
all	NA07056
all	NA12707
all	NA12154
all	NA12753
all	NA11839
all	NA10859
all	NA12875
all	NA07348
all	NA12156
all	NA12044
all	NA11992
all	NA11829
all	NA12239
all	NA12762
all	NA12716
all	NA12878
all	NA10856
all	NA12874
all	NA12760
all	NA06985
all	NA12003
all	NA10835
all	NA07022
all	NA12813
all	NA10839
all	NA07055
all	NA12056
all	NA10863
all	NA12145
all	NA12814
all	NA10847
all	NA12006
all	NA12763
all	NA07357
all	NA12144
all	NA10831
all	NA07000
all	NA11832
all	NA06991
all	NA11840
all	NA12802
all	NA12761
all	NA10830
all	NA10855
all	NA06994
all	NA11993
all	NA11995
all	NA12891
all	NA12864
all	NA12751
all	NA10861
all	NA12005
all	NA12234
all	NA07345
all	NA07029
all	NA12892
all	NA12248
all	NA10846
all	NA12801
all	NA12872
all	NA12155
all	NA06993
all	NA11830
all	NA10838
all	NA12249
all	NA12057
all	NA12812
all	NA11881
all	NA11994
all	NA12873
all	NA12815
all	NA12740
all	NA12752
all	NA12043
all	NA12264
all	NA10854
all	NA12865
all	NA18597
all	NA18615
all	NA18557
all	NA18628
all	NA18745
all	NA18640
all	NA18747
all	NA18596
all	NA18536
all	NA18599
all	NA18544
all	NA18602
all	NA18614
all	NA18548
all	NA18616
all	NA18559
all	NA18619
all	NA18638
all	NA18639
all	NA18627
all	NA18631
all	NA18634
all	NA18642
all	NA18626
all	NA18543
all	NA18610
all	NA18617
all	NA18613
all	NA18647
all	NA18630
all	NA18641
all	NA18748
all	NA18749
all	NA18757
all	NA18546
all	NA18643
