sample_id	subject_id	tissue_source
NA19919	NA19919	cell line
NA19916	NA19916	cell line
NA19835	NA19835	cell line
NA20282	NA20282	cell line
NA19703	NA19703	cell line
NA19902	NA19902	cell line
NA19901	NA19901	cell line
NA19908	NA19908	cell line
NA19914	NA19914	cell line
NA20287	NA20287	cell line
NA20335	NA20335	cell line
NA19713	NA19713	cell line
NA19904	NA19904	cell line
NA19917	NA19917	cell line
NA19982	NA19982	cell line
NA20340	NA20340	cell line
NA20297	NA20297	cell line
NA19909	NA19909	cell line
NA19834	NA19834	cell line
NA20317	NA20317	cell line
NA19818	NA19818	cell line
NA20290	NA20290	cell line
NA20295	NA20295	cell line
NA20346	NA20346	cell line
NA19921	NA19921	cell line
NA20281	NA20281	cell line
NA20359	NA20359	cell line
NA20301	NA20301	cell line
NA20349	NA20349	cell line
NA20294	NA20294	cell line
NA20337	NA20337	cell line
NA20357	NA20357	cell line
NA19900	NA19900	cell line
NA20128	NA20128	cell line
NA20348	NA20348	cell line
NA20289	NA20289	cell line
NA20344	NA20344	cell line
NA20333	NA20333	cell line
NA20277	NA20277	cell line
NA20300	NA20300	cell line
NA19819	NA19819	cell line
NA20343	NA20343	cell line
NA19625	NA19625	cell line
NA20332	NA20332	cell line
NA19700	NA19700	cell line
NA20291	NA20291	cell line
NA20342	NA20342	cell line
NA20334	NA20334	cell line
NA20356	NA20356	cell line
NA20292	NA20292	cell line
NA20350	NA20350	cell line
NA19983	NA19983	cell line
NA20279	NA20279	cell line
NA20288	NA20288	cell line
NA20284	NA20284	cell line
NA19712	NA19712	cell line
NA20322	NA20322	cell line
NA19704	NA19704	cell line
NA19714	NA19714	cell line
NA19701	NA19701	cell line
NA20358	NA20358	cell line
NA20363	NA20363	cell line
NA20360	NA20360	cell line
NA20129	NA20129	cell line
NA19705	NA19705	cell line
NA19836	NA19836	cell line
NA20319	NA20319	cell line
NA20345	NA20345	cell line
NA20302	NA20302	cell line
NA19711	NA19711	cell line
NA20347	NA20347	cell line
NA19702	NA19702	cell line
NA20126	NA20126	cell line
NA20364	NA20364	cell line
NA20336	NA20336	cell line
NA19915	NA19915	cell line
NA19708	NA19708	cell line
NA20341	NA20341	cell line
NA19918	NA19918	cell line
NA19828	NA19828	cell line
NA19985	NA19985	cell line
NA20276	NA20276	cell line
NA20127	NA20127	cell line
NA19984	NA19984	cell line
NA20298	NA20298	cell line
NA20351	NA20351	cell line
NA20412	NA20412	cell line
NA06989	NA06989	cell line
NA11891	NA11891	cell line
NA11843	NA11843	cell line
NA12341	NA12341	cell line
NA12739	NA12739	cell line
NA10850	NA10850	cell line
NA06984	NA06984	cell line
NA12877	NA12877	cell line
NA12275	NA12275	cell line
NA06986	NA06986	cell line
NA12272	NA12272	cell line
NA10845	NA10845	cell line
NA10852	NA10852	cell line
NA07051	NA07051	cell line
NA12400	NA12400	cell line
NA12344	NA12344	cell line
NA12777	NA12777	cell line
NA12287	NA12287	cell line
NA10837	NA10837	cell line
NA12383	NA12383	cell line
NA12340	NA12340	cell line
NA12708	NA12708	cell line
NA12273	NA12273	cell line
NA11892	NA11892	cell line
NA12546	NA12546	cell line
NA12843	NA12843	cell line
NA12766	NA12766	cell line
NA12348	NA12348	cell line
NA12817	NA12817	cell line
NA10840	NA10840	cell line
NA06997	NA06997	cell line
NA11917	NA11917	cell line
NA12718	NA12718	cell line
NA12282	NA12282	cell line
NA11920	NA11920	cell line
NA12776	NA12776	cell line
NA12283	NA12283	cell line
NA07435	NA07435	cell line
NA12828	NA12828	cell line
NA07045	NA07045	cell line
NA07031	NA07031	cell line
NA12336	NA12336	cell line
NA07349	NA07349	cell line
NA12827	NA12827	cell line
NA12375	NA12375	cell line
NA12343	NA12343	cell line
