sample_set_id	sample_id
all	HG00096
all	HG00097
all	HG00099
all	HG00100
all	HG00101
all	HG00102
all	HG00103
all	HG00105
all	HG00106
all	HG00107
all	HG00108
all	HG00109
all	HG00110
all	HG00111
all	HG00112
all	HG00113
all	HG00114
all	HG00115
all	HG00116
all	HG00117
all	HG00118
all	HG00119
all	HG00120
all	HG00121
all	HG00122
all	HG00123
all	HG00125
all	HG00126
all	HG00127
all	HG00128
all	HG00129
all	HG00130
all	HG00131
all	HG00132
all	HG00133
all	HG00136
all	HG00137
all	HG00138
all	HG00139
all	HG00140
all	HG00141
all	HG00142
all	HG00143
all	HG00145
all	HG00146
all	HG00148
all	HG00149
all	HG00150
all	HG00151
all	HG00154
all	HG00155
all	HG00157
all	HG00158
all	HG00159
all	HG00160
all	HG00171
all	HG00173
all	HG00174
all	HG00176
all	HG00177
all	HG00178
all	HG00179
all	HG00180
all	HG00181
all	HG00182
all	HG00183
all	HG00185
all	HG00186
all	HG00187
all	HG00188
all	HG00189
all	HG00190
all	HG00231
all	HG00232
all	HG00233
all	HG00234
all	HG00235
all	HG00236
all	HG00237
all	HG00238
all	HG00239
all	HG00240
all	HG00242
all	HG00243
all	HG00244
all	HG00245
all	HG00246
all	HG00250
all	HG00251
all	HG00252
all	HG00253
all	HG00254
all	HG00255
all	HG00256
all	HG00257
all	HG00258
all	HG00259
all	HG00260
all	HG00261
all	HG00262
all	HG00263
all	HG00264
all	HG00265
all	HG00266
all	HG00267
all	HG00268
all	HG00269
all	HG00271
all	HG00272
all	HG00273
all	HG00274
all	HG00275
all	HG00276
all	HG00277
all	HG00278
all	HG00280
all	HG00281
all	HG00282
all	HG00284
all	HG00285
all	HG00288
all	HG00290
all	HG00304
all	HG00306
all	HG00308
all	HG00309
all	HG00310
all	HG00311
all	HG00313
all	HG00315
all	HG00318
all	HG00319
all	HG00320
all	HG00321
all	HG00323
all	HG00324
all	HG00325
all	HG00326
all	HG00327
all	HG00328
all	HG00329
all	HG00330
all	HG00331
all	HG00332
all	HG00334
all	HG00335
all	HG00336
all	HG00337
all	HG00338
all	HG00339
all	HG00341
all	HG00342
all	HG00343
all	HG00344
all	HG00345
all	HG00346
all	HG00349
all	HG00350
all	HG00351
all	HG00353
all	HG00355
all	HG00356
all	HG00357
all	HG00358
all	HG00360
all	HG00361
all	HG00362
all	HG00364
all	HG00365
all	HG00366
all	HG00367
all	HG00368
all	HG00369
all	HG00371
all	HG00372
all	HG00373
all	HG00375
all	HG00376
all	HG00378
all	HG00379
all	HG00380
all	HG00381
all	HG00382
all	HG00383
all	HG00384
all	HG00403
all	HG00404
all	HG00406
all	HG00407
all	HG00409
all	HG00410
all	HG00419
all	HG00421
all	HG00422
all	HG00428
all	HG00436
all	HG00437
all	HG00442
all	HG00443
all	HG00445
all	HG00446
all	HG00448
all	HG00449
all	HG00451
all	HG00452
all	HG00457
all	HG00458
all	HG00463
all	HG00464
all	HG00472
all	HG00473
all	HG00475
all	HG00476
all	HG00478
all	HG00479
all	HG00500
all	HG00513
all	HG00524
all	HG00525
all	HG00530
all	HG00531
all	HG00533
all	HG00534
all	HG00536
all	HG00537
all	HG00542
all	HG00543
all	HG00551
all	HG00553
all	HG00554
all	HG00556
all	HG00557
all	HG00559
all	HG00560
all	HG00565
all	HG00566
all	HG00580
all	HG00581
all	HG00583
all	HG00584
all	HG00589
all	HG00590
all	HG00592
all	HG00593
all	HG00595
all	HG00596
all	HG00598
all	HG00599
all	HG00607
all	HG00608
all	HG00610
all	HG00611
all	HG00613
all	HG00614
all	HG00619
all	HG00620
all	HG00622
all	HG00623
all	HG00625
all	HG00626
all	HG00628
all	HG00629
all	HG00631
all	HG00632
all	HG00634
all	HG00637
all	HG00638
all	HG00640
all	HG00641
all	HG00650
all	HG00651
all	HG00653
all	HG00654
all	HG00656
all	HG00657
all	HG00662
all	HG00663
all	HG00671
all	HG00672
all	HG00674
all	HG00675
all	HG00683
all	HG00684
all	HG00689
all	HG00690
all	HG00692
all	HG00693
all	HG00698
all	HG00699
all	HG00701
all	HG00704
all	HG00705
all	HG00707
all	HG00708
all	HG00717
all	HG00728
all	HG00729
all	HG00731
all	HG00732
all	HG00734
all	HG00736
all	HG00737
all	HG00739
all	HG00740
all	HG00742
all	HG00743
all	HG00759
all	HG00766
all	HG00844
all	HG00851
all	HG00864
all	HG00867
all	HG00879
all	HG00881
all	HG00956
all	HG00978
all	HG00982
all	HG01028
all	HG01029
all	HG01031
all	HG01046
all	HG01047
all	HG01048
all	HG01049
all	HG01051
all	HG01052
all	HG01054
all	HG01055
all	HG01058
all	HG01060
all	HG01061
all	HG01063
all	HG01064
all	HG01066
all	HG01067
all	HG01069
all	HG01070
all	HG01072
all	HG01073
all	HG01075
all	HG01077
all	HG01079
all	HG01080
all	HG01082
all	HG01083
all	HG01085
all	HG01086
all	HG01088
all	HG01089
all	HG01092
all	HG01094
all	HG01095
all	HG01097
all	HG01098
all	HG01101
all	HG01102
all	HG01104
all	HG01105
all	HG01107
all	HG01108
all	HG01110
all	HG01111
all	HG01112
all	HG01113
all	HG01119
all	HG01121
all	HG01122
all	HG01124
all	HG01125
all	HG01130
all	HG01131
all	HG01133
all	HG01134
all	HG01136
all	HG01137
all	HG01139
all	HG01140
all	HG01142
all	HG01148
all	HG01149
all	HG01161
all	HG01162
all	HG01164
all	HG01167
all	HG01168
all	HG01170
all	HG01171
all	HG01173
all	HG01174
all	HG01176
all	HG01177
all	HG01182
all	HG01183
all	HG01187
all	HG01188
all	HG01190
all	HG01191
all	HG01197
all	HG01198
all	HG01200
all	HG01204
all	HG01205
all	HG01241
all	HG01242
all	HG01247
all	HG01248
all	HG01250
all	HG01251
all	HG01253
all	HG01254
all	HG01256
all	HG01257
all	HG01259
all	HG01260
all	HG01269
all	HG01271
all	HG01272
all	HG01275
all	HG01277
all	HG01280
all	HG01281
all	HG01284
all	HG01286
all	HG01302
all	HG01303
all	HG01305
all	HG01308
all	HG01311
all	HG01312
all	HG01323
all	HG01325
all	HG01326
all	HG01334
all	HG01341
all	HG01342
all	HG01344
all	HG01345
all	HG01348
all	HG01350
all	HG01351
all	HG01353
all	HG01354
all	HG01356
all	HG01357
all	HG01359
all	HG01360
all	HG01362
all	HG01363
all	HG01365
all	HG01366
all	HG01369
all	HG01372
all	HG01374
all	HG01375
all	HG01377
all	HG01378
all	HG01383
all	HG01384
all	HG01389
all	HG01390
all	HG01392
all	HG01393
all	HG01395
all	HG01396
all	HG01398
all	HG01402
all	HG01403
all	HG01405
all	HG01412
all	HG01413
all	HG01414
all	HG01431
all	HG01432
all	HG01435
all	HG01437
all	HG01438
all	HG01440
all	HG01441
all	HG01443
all	HG01444
all	HG01447
all	HG01455
all	HG01456
all	HG01459
all	HG01461
all	HG01462
all	HG01464
all	HG01465
all	HG01468
all	HG01474
all	HG01479
all	HG01485
all	HG01486
all	HG01488
all	HG01489
all	HG01491
all	HG01492
all	HG01494
all	HG01495
