sample_id	subject_id	tissue_source
HG00096	HG00096	Unknown
HG00097	HG00097	Unknown
HG00099	HG00099	Unknown
HG00100	HG00100	Unknown
HG00101	HG00101	Unknown
HG00102	HG00102	Unknown
HG00103	HG00103	Unknown
HG00105	HG00105	Unknown
HG00106	HG00106	Unknown
HG00107	HG00107	Unknown
HG00108	HG00108	Unknown
HG00109	HG00109	Unknown
HG00110	HG00110	Unknown
HG00111	HG00111	Unknown
HG00112	HG00112	Unknown
HG00113	HG00113	Unknown
HG00114	HG00114	Unknown
HG00115	HG00115	Unknown
HG00116	HG00116	Unknown
HG00117	HG00117	Unknown
HG00118	HG00118	Unknown
HG00119	HG00119	Unknown
HG00120	HG00120	Unknown
HG00121	HG00121	Unknown
HG00122	HG00122	Unknown
HG00123	HG00123	Unknown
HG00125	HG00125	Unknown
HG00126	HG00126	Unknown
HG00127	HG00127	Unknown
HG00128	HG00128	Unknown
HG00129	HG00129	Unknown
HG00130	HG00130	Unknown
HG00131	HG00131	Unknown
HG00132	HG00132	Unknown
HG00133	HG00133	Unknown
HG00136	HG00136	Unknown
HG00137	HG00137	Unknown
HG00138	HG00138	Unknown
HG00139	HG00139	Unknown
HG00140	HG00140	Unknown
HG00141	HG00141	Unknown
HG00142	HG00142	Unknown
HG00143	HG00143	Unknown
HG00145	HG00145	Unknown
HG00146	HG00146	Unknown
HG00148	HG00148	Unknown
HG00149	HG00149	Unknown
HG00150	HG00150	Unknown
HG00151	HG00151	Unknown
HG00154	HG00154	Unknown
HG00155	HG00155	Unknown
HG00157	HG00157	Unknown
HG00158	HG00158	Unknown
HG00159	HG00159	Unknown
HG00160	HG00160	Unknown
HG00171	HG00171	Unknown
HG00173	HG00173	Unknown
HG00174	HG00174	Unknown
HG00176	HG00176	Unknown
HG00177	HG00177	Unknown
HG00178	HG00178	Unknown
HG00179	HG00179	Unknown
HG00180	HG00180	Unknown
HG00181	HG00181	Unknown
HG00182	HG00182	Unknown
HG00183	HG00183	Unknown
HG00185	HG00185	Unknown
HG00186	HG00186	Unknown
HG00187	HG00187	Unknown
HG00188	HG00188	Unknown
HG00189	HG00189	Unknown
HG00190	HG00190	Unknown
HG00231	HG00231	Unknown
HG00232	HG00232	Unknown
HG00233	HG00233	Unknown
HG00234	HG00234	Unknown
HG00235	HG00235	Unknown
HG00236	HG00236	Unknown
HG00237	HG00237	Unknown
HG00238	HG00238	Unknown
HG00239	HG00239	Unknown
HG00240	HG00240	Unknown
HG00242	HG00242	Unknown
HG00243	HG00243	Unknown
HG00244	HG00244	Unknown
HG00245	HG00245	Unknown
HG00246	HG00246	Unknown
HG00250	HG00250	Unknown
HG00251	HG00251	Unknown
HG00252	HG00252	Unknown
HG00253	HG00253	Unknown
HG00254	HG00254	Unknown
HG00255	HG00255	Unknown
HG00256	HG00256	Unknown
HG00257	HG00257	Unknown
HG00258	HG00258	Unknown
HG00259	HG00259	Unknown
HG00260	HG00260	Unknown
HG00261	HG00261	Unknown
HG00262	HG00262	Unknown
HG00263	HG00263	Unknown
HG00264	HG00264	Unknown
HG00265	HG00265	Unknown
HG00266	HG00266	Unknown
HG00267	HG00267	Unknown
HG00268	HG00268	Unknown
HG00269	HG00269	Unknown
HG00271	HG00271	Unknown
HG00272	HG00272	Unknown
HG00273	HG00273	Unknown
HG00274	HG00274	Unknown
HG00275	HG00275	Unknown
HG00276	HG00276	Unknown
HG00277	HG00277	Unknown
HG00278	HG00278	Unknown
HG00280	HG00280	Unknown
HG00281	HG00281	Unknown
HG00282	HG00282	Unknown
HG00284	HG00284	Unknown
HG00285	HG00285	Unknown
HG00288	HG00288	Unknown
HG00290	HG00290	Unknown
HG00304	HG00304	Unknown
HG00306	HG00306	Unknown
HG00308	HG00308	Unknown
HG00309	HG00309	Unknown
HG00310	HG00310	Unknown
HG00311	HG00311	Unknown
HG00313	HG00313	Unknown
HG00315	HG00315	Unknown
HG00318	HG00318	Unknown
HG00319	HG00319	Unknown
HG00320	HG00320	Unknown
HG00321	HG00321	Unknown
HG00323	HG00323	Unknown
HG00324	HG00324	Unknown
HG00325	HG00325	Unknown
HG00326	HG00326	Unknown
HG00327	HG00327	Unknown
HG00328	HG00328	Unknown
