subject_id	reported_sex	consent_code	study_nickname
HG00096	Male	NRES	1000G
HG00097	Female	NRES	1000G
HG00099	Female	NRES	1000G
HG00100	Female	NRES	1000G
HG00101	Male	NRES	1000G
HG00102	Female	NRES	1000G
HG00103	Male	NRES	1000G
HG00105	Male	NRES	1000G
HG00106	Female	NRES	1000G
HG00107	Male	NRES	1000G
HG00108	Male	NRES	1000G
HG00109	Male	NRES	1000G
HG00110	Female	NRES	1000G
HG00111	Female	NRES	1000G
HG00112	Male	NRES	1000G
HG00113	Male	NRES	1000G
HG00114	Male	NRES	1000G
HG00115	Male	NRES	1000G
HG00116	Male	NRES	1000G
HG00117	Male	NRES	1000G
HG00118	Female	NRES	1000G
HG00119	Male	NRES	1000G
HG00120	Female	NRES	1000G
HG00121	Female	NRES	1000G
HG00122	Female	NRES	1000G
HG00123	Female	NRES	1000G
HG00125	Female	NRES	1000G
HG00126	Male	NRES	1000G
HG00127	Female	NRES	1000G
HG00128	Female	NRES	1000G
HG00129	Male	NRES	1000G
HG00130	Female	NRES	1000G
HG00131	Male	NRES	1000G
HG00132	Female	NRES	1000G
HG00133	Female	NRES	1000G
HG00136	Male	NRES	1000G
HG00137	Female	NRES	1000G
HG00138	Male	NRES	1000G
HG00139	Male	NRES	1000G
HG00140	Male	NRES	1000G
HG00141	Male	NRES	1000G
HG00142	Male	NRES	1000G
HG00143	Male	NRES	1000G
HG00145	Male	NRES	1000G
HG00146	Female	NRES	1000G
HG00148	Male	NRES	1000G
HG00149	Male	NRES	1000G
HG00150	Female	NRES	1000G
HG00151	Male	NRES	1000G
HG00154	Female	NRES	1000G
HG00155	Male	NRES	1000G
HG00157	Male	NRES	1000G
HG00158	Female	NRES	1000G
HG00159	Male	NRES	1000G
HG00160	Male	NRES	1000G
HG00171	Female	NRES	1000G
HG00173	Female	NRES	1000G
HG00174	Female	NRES	1000G
HG00176	Female	NRES	1000G
HG00177	Female	NRES	1000G
HG00178	Female	NRES	1000G
HG00179	Female	NRES	1000G
HG00180	Female	NRES	1000G
HG00181	Male	NRES	1000G
HG00182	Male	NRES	1000G
HG00183	Male	NRES	1000G
HG00185	Male	NRES	1000G
HG00186	Male	NRES	1000G
HG00187	Male	NRES	1000G
HG00188	Male	NRES	1000G
HG00189	Male	NRES	1000G
HG00190	Male	NRES	1000G
HG00231	Female	NRES	1000G
HG00232	Female	NRES	1000G
HG00233	Female	NRES	1000G
HG00234	Male	NRES	1000G
HG00235	Female	NRES	1000G
HG00236	Female	NRES	1000G
HG00237	Female	NRES	1000G
HG00238	Female	NRES	1000G
HG00239	Female	NRES	1000G
HG00240	Female	NRES	1000G
HG00242	Male	NRES	1000G
HG00243	Male	NRES	1000G
HG00244	Male	NRES	1000G
HG00245	Female	NRES	1000G
HG00246	Male	NRES	1000G
HG00250	Female	NRES	1000G
HG00251	Male	NRES	1000G
HG00252	Male	NRES	1000G
HG00253	Female	NRES	1000G
HG00254	Female	NRES	1000G
HG00255	Female	NRES	1000G
HG00256	Male	NRES	1000G
HG00257	Female	NRES	1000G
HG00258	Female	NRES	1000G
HG00259	Female	NRES	1000G
HG00260	Male	NRES	1000G
HG00261	Female	NRES	1000G
HG00262	Female	NRES	1000G
HG00263	Female	NRES	1000G
HG00264	Male	NRES	1000G
HG00265	Male	NRES	1000G
HG00266	Female	NRES	1000G
HG00267	Male	NRES	1000G
HG00268	Female	NRES	1000G
HG00269	Female	NRES	1000G
HG00271	Male	NRES	1000G
HG00272	Female	NRES	1000G
HG00273	Male	NRES	1000G
HG00274	Female	NRES	1000G
HG00275	Female	NRES	1000G
HG00276	Female	NRES	1000G
HG00277	Male	NRES	1000G
HG00278	Male	NRES	1000G
HG00280	Male	NRES	1000G
HG00281	Female	NRES	1000G
HG00282	Female	NRES	1000G
HG00284	Male	NRES	1000G
HG00285	Female	NRES	1000G
HG00288	Female	NRES	1000G
HG00290	Male	NRES	1000G
HG00304	Female	NRES	1000G
HG00306	Female	NRES	1000G
HG00308	Male	NRES	1000G
HG00309	Female	NRES	1000G
HG00310	Male	NRES	1000G
HG00311	Male	NRES	1000G
HG00313	Female	NRES	1000G
HG00315	Female	NRES	1000G
HG00318	Female	NRES	1000G
HG00319	Female	NRES	1000G
HG00320	Female	NRES	1000G
HG00321	Male	NRES	1000G
HG00323	Female	NRES	1000G
HG00324	Female	NRES	1000G
HG00325	Male	NRES	1000G
HG00326	Female	NRES	1000G
HG00327	Female	NRES	1000G
HG00328	Female	NRES	1000G
HG00329	Male	NRES	1000G
HG00330	Female	NRES	1000G
HG00331	Female	NRES	1000G
HG00332	Female	NRES	1000G
HG00334	Female	NRES	1000G
HG00335	Male	NRES	1000G
HG00336	Male	NRES	1000G
HG00337	Female	NRES	1000G
HG00338	Male	NRES	1000G
HG00339	Female	NRES	1000G
HG00341	Male	NRES	1000G
HG00342	Male	NRES	1000G
HG00343	Female	NRES	1000G
HG00344	Female	NRES	1000G
HG00345	Male	NRES	1000G
HG00346	Female	NRES	1000G
HG00349	Female	NRES	1000G
HG00350	Female	NRES	1000G
HG00351	Male	NRES	1000G
HG00353	Female	NRES	1000G
HG00355	Female	NRES	1000G
HG00356	Female	NRES	1000G
HG00357	Female	NRES	1000G
HG00358	Male	NRES	1000G
HG00360	Male	NRES	1000G
HG00361	Female	NRES	1000G
HG00362	Female	NRES	1000G
HG00364	Female	NRES	1000G
HG00365	Female	NRES	1000G
HG00366	Male	NRES	1000G
HG00367	Female	NRES	1000G
HG00368	Female	NRES	1000G
HG00369	Male	NRES	1000G
HG00371	Male	NRES	1000G
HG00372	Male	NRES	1000G
HG00373	Female	NRES	1000G
HG00375	Male	NRES	1000G
HG00376	Female	NRES	1000G
HG00378	Female	NRES	1000G
HG00379	Female	NRES	1000G
HG00380	Female	NRES	1000G
HG00381	Female	NRES	1000G
HG00382	Male	NRES	1000G
HG00383	Female	NRES	1000G
HG00384	Female	NRES	1000G
HG00403	Male	NRES	1000G
HG00404	Female	NRES	1000G
HG00406	Male	NRES	1000G
HG00407	Female	NRES	1000G
HG00409	Male	NRES	1000G
HG00410	Female	NRES	1000G
HG00419	Female	NRES	1000G
HG00421	Male	NRES	1000G
HG00422	Female	NRES	1000G
HG00428	Female	NRES	1000G
HG00436	Male	NRES	1000G
HG00437	Female	NRES	1000G
HG00442	Male	NRES	1000G
HG00443	Female	NRES	1000G
HG00445	Male	NRES	1000G
HG00446	Female	NRES	1000G
HG00448	Male	NRES	1000G
HG00449	Female	NRES	1000G
HG00451	Male	NRES	1000G
HG00452	Female	NRES	1000G
HG00457	Male	NRES	1000G
HG00458	Female	NRES	1000G
HG00463	Male	NRES	1000G
HG00464	Female	NRES	1000G
HG00472	Male	NRES	1000G
HG00473	Female	NRES	1000G
HG00475	Male	NRES	1000G
HG00476	Female	NRES	1000G
HG00478	Male	NRES	1000G
HG00479	Female	NRES	1000G
HG00500	Male	NRES	1000G
HG00513	Female	NRES	1000G
HG00524	Male	NRES	1000G
HG00525	Female	NRES	1000G
HG00530	Male	NRES	1000G
HG00531	Female	NRES	1000G
HG00533	Male	NRES	1000G
HG00534	Female	NRES	1000G
HG00536	Male	NRES	1000G
HG00537	Female	NRES	1000G
HG00542	Male	NRES	1000G
HG00543	Female	NRES	1000G
HG00551	Female	NRES	1000G
HG00553	Male	NRES	1000G
HG00554	Female	NRES	1000G
HG00556	Male	NRES	1000G
HG00557	Female	NRES	1000G
HG00559	Male	NRES	1000G
HG00560	Female	NRES	1000G
HG00565	Male	NRES	1000G
HG00566	Female	NRES	1000G
HG00580	Male	NRES	1000G
HG00581	Female	NRES	1000G
HG00583	Male	NRES	1000G
HG00584	Female	NRES	1000G
HG00589	Male	NRES	1000G
HG00590	Female	NRES	1000G
HG00592	Male	NRES	1000G
HG00593	Female	NRES	1000G
HG00595	Male	NRES	1000G
HG00596	Female	NRES	1000G
HG00598	Male	NRES	1000G
HG00599	Female	NRES	1000G
HG00607	Male	NRES	1000G
HG00608	Female	NRES	1000G
HG00610	Male	NRES	1000G
HG00611	Female	NRES	1000G
HG00613	Male	NRES	1000G
HG00614	Female	NRES	1000G
HG00619	Male	NRES	1000G
HG00620	Female	NRES	1000G
HG00622	Male	NRES	1000G
HG00623	Female	NRES	1000G
HG00625	Male	NRES	1000G
HG00626	Female	NRES	1000G
HG00628	Male	NRES	1000G
HG00629	Female	NRES	1000G
HG00631	Male	NRES	1000G
HG00632	Female	NRES	1000G
HG00634	Male	NRES	1000G
HG00637	Male	NRES	1000G
HG00638	Female	NRES	1000G
HG00640	Male	NRES	1000G
HG00641	Female	NRES	1000G
HG00650	Male	NRES	1000G
HG00651	Female	NRES	1000G
HG00653	Male	NRES	1000G
HG00654	Female	NRES	1000G
HG00656	Male	NRES	1000G
HG00657	Female	NRES	1000G
