subject_id	population_descriptor	population_label	country_of_recruitment
HG00096	population | superpopulation	GBR | EUR	UK
HG00097	population | superpopulation	GBR | EUR	UK
HG00099	population | superpopulation	GBR | EUR	UK
HG00100	population | superpopulation	GBR | EUR	UK
HG00101	population | superpopulation	GBR | EUR	UK
HG00102	population | superpopulation	GBR | EUR	UK
HG00103	population | superpopulation	GBR | EUR	UK
HG00105	population | superpopulation	GBR | EUR	UK
HG00106	population | superpopulation	GBR | EUR	UK
HG00107	population | superpopulation	GBR | EUR	UK
HG00108	population | superpopulation	GBR | EUR	UK
HG00109	population | superpopulation	GBR | EUR	UK
HG00110	population | superpopulation	GBR | EUR	UK
HG00111	population | superpopulation	GBR | EUR	UK
HG00112	population | superpopulation	GBR | EUR	UK
HG00113	population | superpopulation	GBR | EUR	UK
HG00114	population | superpopulation	GBR | EUR	UK
HG00115	population | superpopulation	GBR | EUR	UK
HG00116	population | superpopulation	GBR | EUR	UK
HG00117	population | superpopulation	GBR | EUR	UK
HG00118	population | superpopulation	GBR | EUR	UK
HG00119	population | superpopulation	GBR | EUR	UK
HG00120	population | superpopulation	GBR | EUR	UK
HG00121	population | superpopulation	GBR | EUR	UK
HG00122	population | superpopulation	GBR | EUR	UK
HG00123	population | superpopulation	GBR | EUR	UK
HG00125	population | superpopulation	GBR | EUR	UK
HG00126	population | superpopulation	GBR | EUR	UK
HG00127	population | superpopulation	GBR | EUR	UK
HG00128	population | superpopulation	GBR | EUR	UK
HG00129	population | superpopulation	GBR | EUR	UK
HG00130	population | superpopulation	GBR | EUR	UK
HG00131	population | superpopulation	GBR | EUR	UK
HG00132	population | superpopulation	GBR | EUR	UK
HG00133	population | superpopulation	GBR | EUR	UK
HG00136	population | superpopulation	GBR | EUR	UK
HG00137	population | superpopulation	GBR | EUR	UK
HG00138	population | superpopulation	GBR | EUR	UK
HG00139	population | superpopulation	GBR | EUR	UK
HG00140	population | superpopulation	GBR | EUR	UK
HG00141	population | superpopulation	GBR | EUR	UK
HG00142	population | superpopulation	GBR | EUR	UK
