subject_id	population	superpopulation	country_of_recruitment
HG00096	GBR	EUR	UK
HG00097	GBR	EUR	UK
HG00099	GBR	EUR	UK
HG00100	GBR	EUR	UK
HG00101	GBR	EUR	UK
HG00102	GBR	EUR	UK
HG00103	GBR	EUR	UK
HG00105	GBR	EUR	UK
HG00106	GBR	EUR	UK
HG00107	GBR	EUR	UK
HG00108	GBR	EUR	UK
HG00109	GBR	EUR	UK
HG00110	GBR	EUR	UK
HG00111	GBR	EUR	UK
HG00112	GBR	EUR	UK
HG00113	GBR	EUR	UK
HG00114	GBR	EUR	UK
HG00115	GBR	EUR	UK
HG00116	GBR	EUR	UK
HG00117	GBR	EUR	UK
HG00118	GBR	EUR	UK
HG00119	GBR	EUR	UK
HG00120	GBR	EUR	UK
HG00121	GBR	EUR	UK
HG00122	GBR	EUR	UK
HG00123	GBR	EUR	UK
HG00125	GBR	EUR	UK
HG00126	GBR	EUR	UK
HG00127	GBR	EUR	UK
HG00128	GBR	EUR	UK
HG00129	GBR	EUR	UK
HG00130	GBR	EUR	UK
HG00131	GBR	EUR	UK
HG00132	GBR	EUR	UK
HG00133	GBR	EUR	UK
HG00136	GBR	EUR	UK
HG00137	GBR	EUR	UK
HG00138	GBR	EUR	UK
HG00139	GBR	EUR	UK
HG00140	GBR	EUR	UK
HG00141	GBR	EUR	UK
HG00142	GBR	EUR	UK
HG00143	GBR	EUR	UK
HG00145	GBR	EUR	UK
HG00146	GBR	EUR	UK
HG00148	GBR	EUR	UK
HG00149	GBR	EUR	UK
HG00150	GBR	EUR	UK
HG00151	GBR	EUR	UK
HG00154	GBR	EUR	UK
HG00155	GBR	EUR	UK
HG00157	GBR	EUR	UK
HG00158	GBR	EUR	UK
HG00159	GBR	EUR	UK
HG00160	GBR	EUR	UK
HG00171	FIN	EUR	Finland
HG00173	FIN	EUR	Finland
HG00174	FIN	EUR	Finland
HG00176	FIN	EUR	Finland
HG00177	FIN	EUR	Finland
HG00178	FIN	EUR	Finland
HG00179	FIN	EUR	Finland
HG00180	FIN	EUR	Finland
HG00181	FIN	EUR	Finland
HG00182	FIN	EUR	Finland
HG00183	FIN	EUR	Finland
HG00185	FIN	EUR	Finland
HG00186	FIN	EUR	Finland
HG00187	FIN	EUR	Finland
HG00188	FIN	EUR	Finland
HG00189	FIN	EUR	Finland
HG00190	FIN	EUR	Finland
HG00231	GBR	EUR	UK
HG00232	GBR	EUR	UK
HG00233	GBR	EUR	UK
HG00234	GBR	EUR	UK
HG00235	GBR	EUR	UK
HG00236	GBR	EUR	UK
HG00237	GBR	EUR	UK
HG00238	GBR	EUR	UK
HG00239	GBR	EUR	UK
HG00240	GBR	EUR	UK
HG00242	GBR	EUR	UK
HG00243	GBR	EUR	UK
HG00244	GBR	EUR	UK
HG00245	GBR	EUR	UK
HG00246	GBR	EUR	UK
HG00250	GBR	EUR	UK
HG00251	GBR	EUR	UK
HG00252	GBR	EUR	UK
HG00253	GBR	EUR	UK
HG00254	GBR	EUR	UK
HG00255	GBR	EUR	UK
HG00256	GBR	EUR	UK
HG00257	GBR	EUR	UK
HG00258	GBR	EUR	UK
HG00259	GBR	EUR	UK
HG00260	GBR	EUR	UK
HG00261	GBR	EUR	UK
HG00262	GBR	EUR	UK
HG00263	GBR	EUR	UK
HG00264	GBR	EUR	UK
HG00265	GBR	EUR	UK
HG00266	FIN	EUR	Finland
HG00267	FIN	EUR	Finland
HG00268	FIN	EUR	Finland
HG00269	FIN	EUR	Finland
HG00271	FIN	EUR	Finland
HG00272	FIN	EUR	Finland
HG00273	FIN	EUR	Finland
HG00274	FIN	EUR	Finland
HG00275	FIN	EUR	Finland
HG00276	FIN	EUR	Finland
HG00277	FIN	EUR	Finland
HG00278	FIN	EUR	Finland
HG00280	FIN	EUR	Finland
HG00281	FIN	EUR	Finland
HG00282	FIN	EUR	Finland
HG00284	FIN	EUR	Finland
HG00285	FIN	EUR	Finland
HG00288	FIN	EUR	Finland
HG00290	FIN	EUR	Finland
HG00304	FIN	EUR	Finland
HG00306	FIN	EUR	Finland
HG00308	FIN	EUR	Finland
HG00309	FIN	EUR	Finland
HG00310	FIN	EUR	Finland
HG00311	FIN	EUR	Finland
HG00313	FIN	EUR	Finland
HG00315	FIN	EUR	Finland
HG00318	FIN	EUR	Finland
HG00319	FIN	EUR	Finland
HG00320	FIN	EUR	Finland
HG00321	FIN	EUR	Finland
HG00323	FIN	EUR	Finland
HG00324	FIN	EUR	Finland
HG00325	FIN	EUR	Finland
HG00326	FIN	EUR	Finland
HG00327	FIN	EUR	Finland
HG00328	FIN	EUR	Finland
HG00329	FIN	EUR	Finland
HG00330	FIN	EUR	Finland
HG00331	FIN	EUR	Finland
HG00332	FIN	EUR	Finland
HG00334	FIN	EUR	Finland
HG00335	FIN	EUR	Finland
HG00336	FIN	EUR	Finland
HG00337	FIN	EUR	Finland
HG00338	FIN	EUR	Finland
HG00339	FIN	EUR	Finland
